company_name,Number_of_Jobs,Average_Rating
Mindwise Technologies,4,3.6
Minfy,4,3.0
Finoit Technologies,4,3.8
Mhtechin,4,4.2
Facility Performance Consulting,4,3.6
Mobio Solutions,4,3.2
FORVIA HELLA,4,3.7
Moneymul Technologies Pvt Ltd,4,3.6
Boston Analytics,4,3.0
Srivango,4,3.6
Brand Catalyst Media,4,4.4
Brickwork Ratings (BWR),4,3.4
Mongodb,4,3.6
Moody's Analytics,4,4.0
Morgan Stanley,4,3.6
Morningstar,4,3.7
Eyeota,4,3.6
Myers Holum,4,3.6
Aurigo Software Technologies,4,4.6
Mypcot Infotech,4,4.2
Evanti Tech,4,3.6
Evoke HR Solution,4,3.6
Wintech Services India Pvt Ltd,4,3.6
Excelra,4,3.45
Bottom Line,4,3.4
Bristlecone,4,3.6
Broadridge,4,3.8
NIMOY.AI,4,3.6
Ergode It Services,4,3.2
Espire Infolabs,4,2.3
National Payments Corporation of India (NPCI),4,4.0
Teesta Investment,4,3.6
Noida Institute of Engineering Technology (NIET),4,3.2
Ekloud Data Labs,4,3.6
Nutrabay,4,4.5
Agileengine,4,4.6
Agilent Technologies,4,3.9
Agilo Research,4,4.0
Techmasters Infomatrix,4,3.6
Aqilea,4,4.6
Sopra Steria,4,3.9
Buildingblocks Software Services,4,2.8
Boston Consulting Group,4,3.6
Ocwen Financial Corporation,4,3.8
Eice Technology,4,5.0
Ediffy,4,4.0
Edgemed Healthcare,4,3.6
Onemagnify,4,4.2
Drishti Ferry,4,3.6
Droisys,4,3.3
Docusign,4,3.6
WIN Home Inspection,4,3.9
WM UNIVERSAL SOLUTIONS PRIVATE LIMITED,4,3.7
Wadhwani Ai,4,3.8
PURVIEW,4,3.6
PRI Global,4,3.6
TechF,4,3.6
TOP MNC Company,4,3.6
Tcg Digital Solutions,4,3.3
TeamLease,4,3.6
Pelocal,4,2.85
Vrinda Global,4,3.6
Vrize,4,3.3
VyntraPro Innovation,4,3.6
Digital Aptech,4,4.4
Perficient,4,3.7
Peroptyx,4,3.2
Pgagi,4,4.4
Dhurin,4,2.4
Pocket Fm,4,2.7
Porch,4,3.6
Pioneer Infotech,4,3.38
Two95 International,4,4.0
Applicate,4,3.4
Spectral Consultants,4,3.6
Speraspect,4,3.6
Tata Electronics (TEPL),4,3.9
Tata Power,4,3.9
Decisiontree Analytics & Services,4,4.2
PrimaFelicitas,4,2.2
Alcatec Research Laboratories,4,2.5
Precision For Medicine,4,3.5
Pro Ultimus,4,1.2
Procdna,4,4.0
Primohunt Corporate,4,3.6
Vlaunchu,4,3.5
Prisma Global,4,2.3
Data Patterns,4,3.3
DTDC Express,4,3.7
Solventum,4,4.4
Prodcon Tech Services,4,3.6
Pulsehrm,4,3.6
Puresoftware Technology,4,2.9
Cybage,4,3.7
Cynet,4,3.1
Virtues R & D,4,4.4
Talentzo Delhi,4,3.6
Talworx,4,3.6
Tata Technologies,4,3.4
Quickbase,4,3.2
Quincy Compressor,4,3.6
CrossAsyst,4,3.1
Rabbit And Tortoise Technology Solutions,4,2.8
Radiansys Technologies,4,3.5
Societe Generale Global Solution Centre,4,3.6
CS Disco,4,3.9
Randomtrees,4,3.9
Red Hat,4,4.3
Relevantz Technology Services,4,3.6
Reliance Foundation Institution Of Education And Research,4,3.9
Taskus India,4,3.0
Talent Corner HR Services,4,3.6
Talent Smart Soft Solutions,4,4.0
Viga Entertainment Technology,4,4.7
Viaprom Technologies,4,3.9
Vichara Technologies,4,3.6
Tanisha Systems,4,2.8
Compunnel,4,3.7
Revvity Healthcare,4,3.8
RiDiK,4,3.8
SmarTek21,4,3.4
CMMI Level5 Company!,4,3.6
Robosoft Technologies,4,3.3
Comprinno Technologies,4,3.6
Comfrt,4,3.6
Codepanda Academy,4,4.5
Coderea,4,3.6
Talent Toppers,4,3.6
Apptad,4,4.2
Verdantis,4,3.6
SE2,4,3.3
SI UK,4,4.0
Ventures Hrd Centre,4,3.6
SS&C Technologies,4,3.2
SSP Solutions,4,3.6
Cloudthat Technologies,4,4.0
SBI Card,4,3.6
V2soft,4,3.5
Anheuser Busch InBev,4,3.3
CSG,4,3.5
Cloudesign,4,4.2
Cloudforti,4,3.6
Safeway Insurance,4,3.0
Ameriprise Financial,4,3.5
Amici Global Solutions,4,4.0
Vensure,4,3.7
Aptech Limited,4,3.0
Tudip Technologies,4,3.4
TSIT Digital,4,3.6
Cigna Medical Group,4,3.0
Samatrix Consulting,4,3.3
Sapiens,4,3.1
Scymes Services,4,3.4
Sberbank,4,3.2
Bayer Zydus Pharma,4,3.5
Best Egg,4,3.6
ValuePoint,4,3.5
Valuedx Technologies,4,3.5
Analytics Liv Digital,4,4.7
Capital One,4,3.5
Sgvp Holistic Hospital,4,4.0
Shaip Ai Data (india),4,3.5
Sigmoid Analytics,4,3.8
A Client of Anlage,4,3.6
Idexcel,4,3.15
Toppan Merrill,4,3.8
Imurgence,3,3.6
Datametica,3,3.0
Natobotics Technologies,3,4.2
Navia Energy,3,3.6
Nauticalinfo Solutions,3,3.6
Dataalpha Ai,3,3.6
Dbiz.ai,3,3.2
NJ Group,3,3.7
Swift-logix Solutions,3,3.6
NEC Software Solutions,3,3.9
Wiley,3,3.8
Bitbybit Solutions,3,3.6
Bista Solutions Inc,3,3.6
Deets Digital,3,2.8
Deepspatial,3,4.6
Adytuminfotech,3,3.6
Adyog,3,5.0
Bharatnxt,3,4.6
Alcon Laboratories,3,3.8
Bolster,3,3.9
Vivirooms Ecomm,3,1.0
Vivid Techno Solutions,3,3.6
Spring Health Water,3,4.9
IT Sphere,3,3.6
Bright Infotech,3,2.4
Priceline,3,3.7
"inVentiv Health Clinical SRE, LLC",3,3.6
Tata International,3,3.5
iit jobs,3,3.6
Tata Elxsi,3,3.4
Exide,3,3.4
Exela Technologies,3,3.2
BM Digital,3,3.6
Tata Capital,3,4.0
Shell Info Technologies,3,3.47
Shavish HR,3,3.6
NCS Group,3,4.2
Myvirtualdesks,3,3.6
Azul Arc,3,4.5
Azentio,3,2.6
Deals4loans,3,3.6
Capita,3,3.5
CapeStart,3,4.5
Devangles Software,3,3.3
NTT DATA,3,3.67
Dentsu Global Services,3,3.6
Adhiran Infotech,3,5.0
Winzo,3,4.2
Winjit Technologies,3,3.5
Valueonshore,3,3.57
Evince Development,3,4.1
ValueAdd,3,4.1
Valeo,3,3.9
Tecnoprism,3,3.6
Pramerica Life Insurance,3,3.7
Techy Geek Hub,3,4.3
Pragyan School,3,3.1
Prabha Solutions,3,3.6
Denodo Technologies,3,3.5
Technical Offerings & System Solutions,3,3.6
V2 Retail,3,3.3
TMP Worldwide,3,3.6
Better Mortgage,3,3.0
V Patrol,3,1.6
TMD - The Modern Dimension,3,3.6
Ansell,3,3.6
TIGI HR SOLUTION PVT. LTD.,3,3.6
Anrgi Tech,3,3.6
Applied Materials,3,3.7
Mycitypune,3,3.6
Expert App Devs,3,4.9
Appinventiv Technologies,3,3.9
Experian,3,3.8
Multinational Company,3,3.6
Multicloud4u Technologies,3,5.0
Cct Digisol,3,3.2
Cbts,3,3.9
Msbc Group,3,3.8
Sensabyte Technologies,3,3.6
Seikor,3,3.6
Mr. Cooper Group,3,4.0
Primesoft Solutions,3,3.4
Seaportai,3,3.6
Myridius x Aethereus,3,3.0
Simpliigence,3,3.7
Mount Talent Consulting,3,3.6
Pice App,3,3.5
Candescent,3,3.4
Motivity Labs,3,3.1
Popreach Technologies,3,4.9
Shyftlabs,3,2.8
Shreeyaansolusmart,3,4.0
CareerFocusConsultancy,3,3.6
Cardinal Health,3,4.1
Cardinal Drugs Ltd.,3,3.6
Motilal Oswal Financial Services (MOFSL),3,3.7
United HR Solutions,3,3.6
Bravura Solutions,3,3.7
Signify,3,3.4
Pmr Softtech,3,3.6
Srmb Srijan,3,3.5
Boomi Software,3,3.7
Bombay Softwares,3,4.6
Devotrend,3,3.6
Voiceplug,3,3.6
Modulr,3,3.8
Mobitrail,3,3.2
Fastly,3,3.6
Philips,3,3.8
Familybuds,3,3.6
Facts N Data,3,4.5
Placement Pandits Consulting,3,3.6
Mindera,3,4.7
Worldline,3,3.6
World Wide Technology,3,4.1
Mibura,3,3.6
Finthrive,3,3.4
Finjo,3,3.6
Circles,3,3.0
Circle K,3,3.0
Dew Solutions,3,3.4
Petpooja,3,3.9
Mindtickle,3,2.5
Digital Global Services,3,4.2
WFA Consultants,3,3.6
University Of Cambridge,3,4.9
Satsure Analytics,3,3.2
Sarvam,3,3.6
Fecund Software,3,4.7
Meesho,3,3.7
Voya India,3,3.6
Medpace Clinical Research India,3,3.2
Fiftyfive Technologies,3,4.3
True Choice,3,3.6
Miles IT,3,3.8
TTK Services,3,3.3
Pegasus Knowledge Solutions (PKSI),3,4.1
Flexm,3,3.5
Flexera Software,3,3.8
Beckman Coulter,3,3.4
Tsys Global Solutions,3,4.1
Acro Technologies,3,3.6
Xceltec,3,3.9
First Meridian Business Services,3,3.6
First Citizens India,3,3.9
First Advantage,3,3.4
Mauve Technologies,3,3.6
Tekclan,3,4.3
Veeda CR,3,3.4
TekPillar,3,3.6
Diageo,3,3.8
Amlgo Labs,3,4.1
Peoples Growth Hr Solutions,3,3.6
Trigger Education Services,3,3.6
Matsci Ai,3,3.6
Sandhata Technologies,3,3.5
Fluor,3,4.1
Stratycon Business Solutions Pvt Ltd,3,3.6
Blue Chip Hr Solutions,3,3.9
Forneu,3,3.6
BLACK & WHITE BUSINESS SOLUTIONS,3,3.6
Magna International,3,3.8
Fortune 500 Product-based MNC,3,3.6
Saguna Consulting Services,3,3.6
Mansa Inc.,3,3.6
Sagittarius Communications,3,3.6
Magellanic Cloud,3,2.0
Squirrel Softech Services,3,4.4
Mango Sciences,3,4.9
TRY Logic Soft Solutions,3,4.2
Manektech,3,3.0
TOP MNC,3,3.6
Anra Technologies,3,2.0
Fountain9,3,3.6
Useready,3,3.1
Majesco,3,2.9
Mabbit Communications,3,3.6
MOL Information Technology India Pvt Ltd,3,3.5
Uparcel,3,3.6
Client of Connexion Group,3,3.6
Client of CAREER PATRONAGE,3,3.6
Client of Anthroplace,3,3.6
Skyleaf Consultants,3,3.6
CSB Bank,3,3.2
Magenta Ev Solutions,3,3.5
Unlimited Innovations,3,3.2
AnandRathi,3,3.4
Fugro,3,2.8
VDartDigital,3,2.9
Aristocrat,3,3.6
Tresvista Financial Services,3,2.2
Capital Placement Services,3,3.6
Trbitix,3,4.0
Ydts Global,3,3.6
Fusemachines,3,4.0
Futurepath Ai,3,3.6
Future Search&selection,3,3.6
SVP Infotech,3,3.6
Lubi Electronics,3,3.8
Logmein,3,4.4
Galaxy Capital Partners,3,3.6
Accrete.AI,3,4.0
Teliolabs Communication,3,3.9
Clsa,3,3.1
The Scholar,3,3.1
SRM Technologies,3,3.4
SRKay Consulting,3,2.9
The Hi Tech Robotic Systemz,3,3.9
Gateway International,3,2.7
Leading ITES Company,3,3.6
GS Lab Gavs,3,3.7
Linkageit,3,3.6
Verdantas,3,3.6
Amazon,3,3.9
PTC,3,4.2
Levi Strauss,3,4.2
Miracle Solution,3,3.6
Wabtec,3,4.0
Lets Viz Technologies,3,3.6
Rxlogix Corporation,3,2.2
Airamatrix,3,2.3
Air Liquide,3,3.5
SEO Orb The Growth Acceleration Framework,3,1.3
Aionos,3,2.9
TEM Association,3,3.6
Aimler Solutions,3,2.4
TELUS Digital,3,3.5
Drip Capital,3,3.53
Tsmg Holding,3,3.6
Dreamsol Telesolutions,3,2.7
Dr Agarwals Eye Hospital,3,3.8
Trueledge Hr And Accounting Services,3,3.6
TalaKunchi,3,3.6
Sunbrilo Technology,3,4.1
Doodleblue Innovations,3,3.6
Sun Pharma,3,4.0
Cognitus,3,3.6
Sumedha Softech,3,3.1
Coderound Ai,3,3.6
Codemonk,3,4.0
Successive Technologies,3,3.8
Successive Digital,3,3.8
Garrett,3,3.1
Yokogawa Electric International Pte,3,3.7
Ovitech Solutions,3,3.6
Rudder Analytics,3,4.0
Outsourcedwell,3,3.6
LeadSquared,3,2.7
LanceSof,3,3.6
Oportun,3,3.0
Getoncrm Solutions,3,3.1
ZINFI,3,2.5
Coffeebeans Technologies,3,3.6
Coditation Systems,3,4.4
Open Fabric,3,3.6
Codevian Technologies,3,3.6
Abbott,3,4.1
Yum! India,3,4.0
Glib,3,1.9
Rolling Arrays,3,3.1
Leading Asset Management Firm,3,3.6
Aabhyasa Technologies,3,5.0
Doshion Polyscience,3,3.6
Coindcx,3,4.0
Zealogics.com,3,3.5
ZeMoSo Technologies,3,3.1
Zakapps Software,3,4.2
Revol Process Solutions,3,3.6
Revenue Technology Services,3,2.6
Drive Terra,3,3.6
Cognitio Analytics,3,3.6
Wayfair,3,3.1
ZS Associates (India) Pvt Ltd,3,3.1
Wartsila,3,4.0
Warner Bros. Discovery,3,3.7
Lagozon Technologies,3,3.8
Walking Tree,3,3.2
Zectos Software,3,4.0
Aaxeleron,3,3.6
Cambium Learning Group,3,3.6
Optimum Info,3,2.4
Global Survey,3,3.8
Opstree Solutions,3,3.9
Opplane,3,3.6
Global It Family,3,4.0
CLIENT OF IT SCIENT,3,3.6
CIEL HR,3,3.6
Smart Ims,3,3.9
Global Industrial,3,3.7
Sleek Tech,3,3.3
The Entrepreneurship Network (TEN),3,4.2
Tower Research Capital,3,3.6
Keylent,3,4.1
Connectheor,3,3.6
Concord Infrastructure,3,3.5
Glosap Systems,3,2.0
Omnimd,3,4.2
Omnicom Global Solutions,3,3.3
Kintellect Partners Llp,3,3.6
Kiebot,3,4.0
Gramener,3,4.3
Colan Infotech,3,3.7
Khan Academy,3,4.5
Keywords Studios,3,2.6
ASL HR Solutions Pvt. Ltd,3,3.6
Computacenter,3,3.9
Victrix Systems & Labs Pvt. Ltd.,3,4.6
Alt-s Technology,3,3.6
Zeronorth,3,3.67
Zero Gravity Photography,3,2.5
Black & Veatch,3,4.2
Synoptek,3,3.4
Vertiv Group Corp,3,3.8
Vertex Computer Systems,3,4.1
Billions United,3,3.6
Gray Acumen Technologies,3,4.5
Offshore Universal Textiles,3,3.6
Oerlikon Balzers,3,3.7
Retransform,3,3.1
Graviton Research Capital,3,3.3
Ecolab Life Sciences,3,3.7
Eclinical Solutions,3,3.1
Kaseya Software,3,3.3
Gresham Technologies,3,3.7
Talent Socio,3,3.6
Ascendeum,3,3.8
Groundtruth,3,3.3
E-stone Information Technology,3,4.2
Tvarit Gmbh,3,3.4
Greysoft Solutions,3,3.6
Tanishqa Quintessence Management Services,3,3.6
JustAnswer Innovations India Private Limited,3,3.0
Jumio Corporation,3,3.9
Kaizen Institute,3,3.0
One Of the MNC Comapany,3,3.6
Edgematics,3,3.9
Regnology,3,3.6
HMH Technology Private Limited,3,4.6
JSW Steel,3,3.9
Refonte Infini,3,3.6
Reelo,3,2.7
Groupm Media,3,3.6
Jman Group,3,2.7
Remotestar,3,5.0
HDFC Life,3,3.8
Swiggy,3,3.7
Blink Health,3,2.1
EXCELPTP,3,3.8
Blazop,3,3.6
Superprocure,3,4.8
ANTI-Ai PRIVATE LIMITED,3,1.9
EMBARK SERVICES PRIVATE LIMITED,3,4.43
Red Apple Technologies,3,3.9
Red & White Education,3,4.3
ANR Software,3,4.1
Reboot Xp,3,2.9
Rearc,3,3.6
ALT Digital Technologies,3,4.5
Itech India Chennai,3,3.3
Covalense Global,3,4.0
Edubridge Learning,3,3.8
Hack2skill,3,4.3
HRSOLUTIONS,3,3.6
RK HR MANAGEMENT,3,3.6
Hackerrank,3,4.2
Edify Group,3,1.1
Intigniz Solutions,3,5.0
Ramboll,3,4.0
Rama Medicare,3,3.2
APA Engineering,3,4.0
Ebix,3,3.6
Intellics Global Services Mumbai,3,2.1
Intellect Design Arena,3,3.5
CDW TECHNOLOGIES INDIA PRIVATE LIMITED,3,3.6
Integrichain,3,3.6
Integreon,3,3.2
East India Securities,3,2.9
Sitka Ai,3,3.6
AIS business solution,3,3.53
ADP Private Limited,3,3.8
Intellistride,3,4.5
Sociomix,3,3.6
Nucleus Software Exports,3,3.2
NuStar Technologies,3,3.6
Snapwork Technologies,3,3.6
Smytten,3,3.4
Raapid,3,3.4
anagha@wizecareers.com,3,3.6
Artdex And Cognoscis Technologies,3,4.3
Arroact,3,3.6
Now vertical,3,3.6
Arohan,3,3.9
Ochin,3,3.6
Trai Inc,3,3.6
Creative Hands HR,3,3.6
purview services,3,3.6
Insurity,3,4.4
Covergo,3,3.3
Inspiration Manpower Consultancy Pvt. Ltd.,3,3.6
Credit Wise Capital Pvt. LTD.,3,3.8
Credgenics,3,4.0
Credentek Software & Consultancy,3,1.6
Spar Krognos Marketing,3,4.8
R Systems International,3,3.6
Insignia Consultancy Solutions,3,1.9
Crisp Analytics or Lumiq,3,3.47
Hilabs,3,3.6
Btree Systems (opc),3,4.3
Bryka Electrosystems & Software,3,3.2
Apidel Technologies,3,3.6
Curai Health,3,3.6
Umanu,3,3.6
BillDesk,3,3.2
Bill Gosling,3,3.5
Inginit,3,4.4
Innoverv Global,3,2.0
A5 Labs,3,2.9
Innofied,3,3.7
Qube Cinema,3,3.7
Nusummit Technologies,3,3.4
Hiring for client,3,3.6
Hiring for Leading MNC Company,3,3.6
Hiring Squad,3,3.6
Virtuetech Inc,3,4.0
Hirani Associates,3,3.6
Align Technology,3,2.8
Infibeam Inc,3,3.2
Algoleap Technologies,3,4.2
Infyni,3,2.3
Tronlogix Tech,3,5.0
Hitech Human Capital,3,3.9
Csk Technologies,3,4.5
Trimble,3,3.8
Hitachi Vantara,3,3.5
Infovision Labs,3,3.6
Infotel Uk Consulting,3,2.5
Baffle,3,4.7
BVG India,3,4.2
Infocusp Innovations,3,4.2
Talentoj,3,3.6
Talentico Consultancy Services,3,3.6
Talentica,3,4.0
Talentall Recruitment Services,3,3.6
Elite Wealth Advisors,3,3.0
e Zest,3,3.8
DIGITAP.AI,3,4.4
delaPlex,3,4.2
Quantum Learnings,3,2.8
Weboccult Technologies,3,2.9
Indimedi,3,2.2
Weblee Technologies,3,3.6
Hoffmann La Roche,3,5.0
Hudson Data,3,3.7
gray matrix solutions,3,3.5
DATATERRAIN LTD,3,3.4
D3V Technology Solutions,3,3.7
ICICI Prudential Life,3,3.9
Igreentree,3,3.6
Huntertech Ventures,3,3.6
Project44,3,2.8
Project Tech4dev,3,3.6
Qnovate,3,5.0
Nikhil Medico,3,3.6
Qcentrio,3,4.5
Purview Service,3,3.6
Purview India Consulting and Services,3,3.6
Humming Brains,3,3.6
Pune Based Next Gen DIgital Engineering Enterprise,3,3.6
Puma Energy,3,2.9
Pulsepoint,3,5.0
Emendate India Bpo,3,3.9
Humancloud Technologies,3,3.3
IQVIA,3,3.67
IPE Global,3,3.9
Prowebhill,3,3.4
Provana,3,4.1
ION,3,2.3
IMC,3,3.67
Northern Trust,3,3.6
Icloudsys,3,3.6
Proofpoint,3,4.2
Pronix It Solutions,3,3.9
Idea Elan,3,3.3
Dalisoft Technologies,3,2.5
Total Shape,3,3.6
Artpark,3,4.4
Artic Consulting,3,3.6
CMMI L5 Company,3,3.6
Artemis Health,3,3.6
Bytespoke Com,3,3.6
Western Digital,3,3.9
Affle,3,3.5
Business Brio,3,4.0
Burgeon IT Services,3,3.6
sigfig-2,3,3.4
Isarva Infotech,3,4.9
Elios Technologies,3,3.6
Elevati Infotech,3,4.5
Nineleaps,3,4.3
Newfold Digital,3,3.6
Daftar Route,3,5.0
Neuron7,3,2.4
Data Nova,3,2.3
Neuralix Ai,3,3.6
Progressive Infovision (PIPL),3,3.6
Progient Labs,3,4.9
Netweb Software,3,3.8
Prodigy Infotech,3,3.9
Nihilent,3,3.2
NetApp,3,3.6
Data Engineer for Leading CMM Level 5 Compnay,3,3.6
Nest Digital,3,3.5
Nexucon Consultancy Services,3,3.6
Data Axle Solutions,3,3.7
Axis Services,3,3.6
Visionet Systems,3,3.3
Axicorp,3,1.0
Techahead Software,3,3.8
Principal Global Services,3,3.6
PristineAI,3,3.4
TechUnido,3,1.9
Automatiq,3,3.6
rimpac,2,3.6
o9 Solutions,2,3.4
orcapod consulting services private limited,2,3.6
2070 Health,2,4.3
Impressico Business Solutions,2,4.5
mPokket Financial Services,2,3.5
A J Mohan & Associates,2,2.6
Bitgo,2,4.2
Bitcomm Technologies,2,4.2
Swec Education Immigration Services Llp,2,2.0
Swathi Business Solutions,2,3.6
TAC Security,2,3.1
Big 4 Accounting Firms,2,3.6
other,2,3.6
Ibs Fintech,2,4.1
Ibcscorp,2,3.0
IWG Plc,2,3.1
ITC,2,3.9
9nexus,2,3.3
8848 Digital,2,4.0
illumifin,2,3.6
Vakils Premedia,2,4.1
VOIS,2,3.8
Shipco It,2,3.5
Shine Infosoft,2,3.5
Shield Ai,2,3.6
Shaligram Infotech,2,3.1
Shalby Hospitals,2,4.2
Cashcraft,2,3.6
Careervira,2,2.7
Shakti Infosolutions,2,4.2
Cantik Technologies Pvt Ltd,2,3.6
Barco,2,4.1
Analogyx Bi,2,2.7
An international BPO,2,3.6
Amuraindia Software Solutions,2,3.6
Varaisys,2,3.7
Valuenable,2,2.8
Showpad,2,3.6
Shivaasha Technologies & Services,2,3.6
Shish Jewels,2,3.6
Shipgig Ventures,2,1.9
Seven N Half,2,3.6
Seven N Consulting,2,3.8
Servoedge Technologies,2,1.6
Service based Mid-Sized B2B Firm in IT Services,2,3.6
Beroe,2,4.1
TM Management Services & Inspection Pvt Ltd,2,3.6
TIBCO,2,3.7
TGP Growth Partners Llp,2,3.6
TESTQ Technologies,2,3.0
Bcforward,2,3.6
Scalable Systems,2,4.2
Saya Homes,2,4.0
Valenta Bpo Solutions,2,4.3
Cellstrat,2,2.7
Sensata Technologies,2,3.7
Sedin Technologies,2,4.5
Sebone Technologies,2,3.1
Simran Shri Shri International,2,1.8
Cameo Corporate Services,2,3.2
Candor Health,2,3.6
Siemens Healthcare,2,4.0
Siclarity,2,4.5
Cardekho.com,2,3.6
Caprus It,2,3.3
Signzy,2,2.9
Scopic Software,2,3.6
Sezzle,2,4.0
Chord Technologies,2,3.6
Chisquarelabs,2,3.45
Cheq Digital,2,2.4
Sapwood Ventures,2,3.6
Sapphire Infocom,2,4.8
Central Depository Services,2,3.2
Center Study Science Technology Policy,2,4.4
Celusion Technologies,2,3.4
Scmworx,2,3.6
Scimitar Research,2,3.6
Sciffer Analytics,2,3.3
Scan IT,2,2.9
Chegg Inc.,2,4.1
Chegg,2,4.1
Cfs-zipp,2,3.6
Sandcup Design Studio,2,4.1
Cision,2,3.4
Sakon,2,2.9
Sakash Group,2,3.6
Saxon Global,2,3.6
Saviynt,2,2.5
Savitr Software Services P,2,3.9
Savista,2,4.1
Cialfo Solutions,2,2.5
Chowgule Mediconsult,2,1.7
Sandhar Technologies,2,3.7
Sandesh,2,3.2
Baranwal Consultancy And Services,2,4.1
TVS Motor,2,3.8
TVS Credit Services Ltd,2,4.2
TSS Consultancy,2,3.4
TSIT Digital Technologies pvt ltd,2,3.6
Becton Dickinson,2,3.9
Aptean,2,3.1
Appzoc,2,3.6
Sadup Soft,2,4.4
Sadhana It Solutions,2,3.6
Sabre,2,3.9
Saasworx Consulting,2,4.5
Vegapay,2,4.1
Ample Softech System,2,4.7
Ample Enterprise Technologies,2,3.6
Amity Software Systems,2,4.0
Sanmina,2,4.1
Sangita Infotech,2,3.6
STEM Healthcare,2,3.1
Cloud Raptor,2,3.6
Cloud Analogy,2,2.7
Clix Capital Services,2,4.1
Clirnet Services,2,3.6
Client of United HR Solutions,2,3.6
Sailpoint Technologies,2,4.4
Sagous,2,2.9
Clearview Healthcare Partners,2,3.6
Cleartax,2,3.0
Clear Quant,2,5.0
Clairvolex,2,2.5
Safe Security,2,2.5
Cloudphysician Healthcare,2,3.6
Cloudonhire,2,3.6
Cloudkeeper,2,3.5
Cloudaims Infotech,2,3.6
SNS System,2,4.2
SKS Enterpprises,2,3.6
SK Finance,2,4.2
Client of EDGE,2,3.6
Anchanto Services,2,3.0
Anayasmi Infotech,2,3.6
VED Infomedia,2,5.0
VD Consultants,2,3.6
V3 Staffing,2,3.6
Sitaram Spinners,2,3.3
Sisco Jobs,2,4.2
Sindhuja Micro Credit,2,3.6
Clickhouse,2,3.6
SYSTRA,2,4.0
SE Mentor,2,3.6
SDG Corporation,2,3.8
SAS Research and Developement (India) Pvt Ltd,2,4.2
Clustrex Data,2,4.5
Club Oxygen,2,3.8
Cloudstrats Technologies,2,3.0
SPAR Solutions,2,4.0
SP Infracon,2,3.8
SOLVERMINDS Solutions & Technologies Pvt.Ltd.,2,3.3
Banyan Data Services,2,5.0
Banking Organization,2,3.6
Alyssum Global Services,2,4.1
Altraize,2,3.6
Venture Smarter,2,3.6
Vensysco Technologies,2,4.0
SIGMA,2,3.6
SGS India,2,3.7
Verizon Media Group,2,4.4
Verisk,2,3.7
Appy Pie,2,3.7
Appstrail Technology,2,2.7
Appsinvo,2,3.9
Tsaw Drones,2,2.5
Truhome Finance Ltd,2,3.6
Takshashila Consulting,2,1.5
TalentPro,2,3.6
TalentAll Recruitment Services,2,3.6
Cognitud,2,3.6
Codemech Solutions,2,2.8
Rvega,2,3.6
Rusada Aviation,2,3.2
Runwal Realty,2,3.7
Rudra Alliance,2,5.0
Cogitate Technology Solutions,2,3.2
Coginsys Technology,2,3.6
Versante Software Technologies,2,2.1
Verkko Group,2,3.8
CommerceIQ,2,2.9
Comet Performance Chemicals,2,1.5
Codezin Technology Solutions,2,4.5
Codespaze,2,4.0
Rpa Infotech,2,2.6
Root Computer,2,3.6
Rollick Ice Cream,2,4.0
Rol Consultancy Faridabad,2,3.6
Cojective Labs,2,3.8
Cognyte Analytics India,2,4.1
Commvault,2,3.7
Common Service Centres (CSC),2,3.8
Cognitivecare,2,3.6
Cognext,2,1.9
Cognex Technology,2,3.4
Rohan Builders & Developers,2,4.1
Rocket Software,2,4.1
Roblox,2,4.3
Smartworks,2,3.3
CN Solutions,2,4.6
Camco Technologies,2,3.6
Call & Whatsapp Sneha @ 8448100705,2,3.6
Cal4care,2,3.0
Silverlink Technologies,2,3.8
Silicon Image India Research Development,2,3.6
CLOUD STRAT,2,3.6
Smart Energy Water,2,2.9
Robestek Solutions,2,3.6
Rivulet Digital,2,4.5
Riveredge Analytics,2,3.9
Reputed MNC,2,3.6
Reputed IT Company,2,3.6
Reputed CA Firm,2,3.6
Rentable Co,2,3.6
Renee Technologies Pune,2,5.0
Renault Nissan Technology & Business Centre India,2,3.7
RightWave InfoSolutions (Pvt) Ltd.,2,3.2
Rezo,2,1.8
Rexus Group,2,2.9
Alphasense,2,3.1
Alphacom Systems And Solutions,2,3.6
Alp Consulting,2,3.6
Vialto Partners,2,2.9
Religare Broking Ltd,2,3.7
Revenera,2,3.6
Revature,2,3.2
Returnonweb Consulting Services,2,4.1
Vidushi Infotech,2,2.8
Vidpro Consultancy Services,2,3.6
Bandi Informatics,2,4.6
Bandhan Life,2,3.2
Balbix,2,2.8
Talent Hired-the Job Store,2,3.6
Talent Drive Consulting (Hiring for a Reputed Digital Marketing & Media Company),2,3.6
Talent Cabin,2,4.2
TaskUs,2,3.0
Coursevita,2,4.1
Reliance Games,2,2.2
Relevance Lab Inc,2,3.6
Relanto,2,3.7
Rejolut A GenAI Web 30 Company,2,3.8
Regalix,2,2.7
Refract Consulting,2,3.0
Corporate Chanakya Services,2,3.7
Corning Technologies,2,4.2
Vigoursoft Global Solutions,2,4.4
RUDRA ANLYTICS,2,4.0
Creative Web Mall,2,4.5
Creative Synergies,2,3.9
Coreehs,2,3.7
Coralogix,2,3.1
Coppertaurus Technologies And Consulting,2,3.6
Redcliffe Labs,2,4.0
Recruito,2,3.6
Reaology Lucknow,2,3.6
Covasant Technologies,2,3.0
Credence Analytics,2,3.2
RRD Global Outsourcing,2,3.6
RNS Group,2,3.6
RISEBIRD,2,3.6
